Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Body
,,,,,,,,,
9118001,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Ivoire 01,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_fond_de_teint_soin_regenerant_01Ivoire.png?v=1666079183,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118002,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Miel 02,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-02.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118003,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Cannelle 03,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-03.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118004,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Noisette 04,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-04.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
9118005,Académie Scientifique de Beauté,Fond de teint soin,Fond de Teint Soin Régénérant,Moka 05,43,Yes,https://www.academiebeaute.com/products/fond-de-teint-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/fdt-05.jpg?v=1669130566,<p>L'efficacité d'un soin et la couvrance d'un fond de teint.</p>
,,,,,,,,,
2060002,Académie Scientifique de Beauté,Crème anti-âge,Sève Miracle - La Crème,Default Title,63,Yes,https://www.academiebeaute.com/products/seve-miracle-la-creme,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Seve_la_creme-jour_nuit.png?v=1666080015,"<p>Plus de 50 ans après ses premiers émois, Sève Miracle ? La Crème est le soin culte pro-age qui aide à prévenir l'apparition des premiers signes de l'âge et revitalise la peau.<br></p>"
,,,,,,,,,
3223000,Académie Scientifique de Beauté,Déodorant Anti-transpirant Post-épilation,Déodorant Roll-on Anti-transpirant Post-épilation,Default Title,30,Yes,https://www.academiebeaute.com/products/deodorant-roll-on-anti-transpirant-post-epilation,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Les_essentiels_corps_deodorant_roll-on_anti-transpirant_post-epilation.png?v=1666077861,<p>Alliance parfaite d'une action déodorante et anti-repousse du poil.</p>
,,,,,,,,,
2160112,Académie Scientifique de Beauté,Lait corps collagène marin,Lait pour le Corps au Collagène Marin,Default Title,34,Yes,https://www.academiebeaute.com/products/lait-pour-le-corps-au-collagene-marin,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Les_essentiels_corps_lait_pour_le_corps_au_collagene_marin.png?v=1666077903,<p>Pour une hydratation rapide au quotidien.</p>
,,,,,,,,,
9120001,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Naturel 01,38,No,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_naturel1.png?v=1666265980,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,
9120002,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Beige rosé 02,38,Yes,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_beige_rose2.png?v=1669131276,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,
9120003,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Sable 03,38,Yes,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_sable3.png?v=1669131276,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,
9120004,Académie Scientifique de Beauté,,Crème Teintée Multi-Effets,Doré 04,38,Yes,https://www.academiebeaute.com/products/creme-teintee-multi-effets,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_creme_teintee_multi-effect_golden4.png?v=1669131276,<p>BB crème 3 en 1 pour un effet seconde peau.</p>
,,,,,,,,,
9105002,Académie Scientifique de Beauté,Soin anti-âge contour des yeux,Soin Lissant Contours Yeux & Lèvres,Default Title,48,Yes,https://www.academiebeaute.com/products/soin-lissant-contours-yeux-levres,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Produit_Youth_Repair_soins_lissant_contour_yeux_levres_creme_masque_jeunesse_4d2343f9-23c2-447f-8aeb-216ce775ad1a.png?v=1666341055,<p>Crème &amp; masque jeunesse.</p>
,,,,,,,,,
2062002,Académie Scientifique de Beauté,Crème contour des yeux anti-âge,Sève Miracle - Le Regard,Default Title,41,Yes,https://www.academiebeaute.com/products/seve-miracle-le-regard,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Seve_miracle_le_regard.png?v=1666080035,"<p>Né de la cultissime Sève Miracle, ce soin clarté du regard raffermit et régénère le contour des yeux.<br></p>"
,,,,,,,,,
9123002,Académie Scientifique de Beauté,Soin des lèvres,Lèvres 3D Perfection,Default Title,38,Yes,https://www.academiebeaute.com/products/levres-3d-perfection,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_levres_3Dperfection_soin_regenerant.png?v=1666092585,<p>Inspiré des injections de comblement à l'acide hyaluronique.</p>
,,,,,,,,,
2011000,Académie Scientifique de Beauté,Gommage visage marin,Phyto-Gommage Marin,Default Title,19.2,Yes,https://www.academiebeaute.com/products/phyto-gommage-marin,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Phyto-gommage_marin_toutes_peaux.png?v=1666188773,"<p>Exfoliez et affinez visiblement le grain de peau.</p>
<p>50 ml </p>"
,,,,,,,,,
3300000,Académie Scientifique de Beauté,Gommage corps,Gommage Corps Granité du Lagon,Default Title,16,Yes,https://www.academiebeaute.com/products/gommage-corps-granite-du-lagon,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/SPA_Destination_Terre_des_Vahines_Gommage_corps_granite_du-lagon_5114d3df-4a53-41d6-8660-37d3a1a48647.png?v=1666341357,"<p>Inspiré de la Polynésie, notre gommage au sel, à la Fleur de Tiaré et à la coque de noix de coco exfoliante fond sur la peau pour éliminer délicatement les cellules mortes tout en laissant un film protecteur.</p>"
,,,,,,,,,
3301000,Académie Scientifique de Beauté,,Crème Corps Rêve Polynésien,Default Title,17,Yes,https://www.academiebeaute.com/products/creme-corps-reve-polynesien,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/SPA_Destination_Terre_des_Vahines_creme_corps-reve-polynesien.png?v=1666077978,"<p><span data-mce-fragment=""1"">Inspirée de la Polynésie, c</span>ette crème hydratante pour le corps au parfum Fleur de Tiaré vous invite pour un voyage des sens à chaque application...</p>"
,,,,,,,,,
1600000,Académie Scientifique de Beauté,Gel nettoyant,Gel Nettoyant,Default Title,30,Yes,https://www.academiebeaute.com/products/gel-nettoyant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Gel_nettoyant_peaux_mixtes_a_grasses.png?v=1666187987,<p>Gel nettoyant matifiant à l'Huile Essentielle de Lavande.</p>
,,,,,,,,,
4520001,Académie Scientifique de Beauté,Matifiant Homme,Baume Actif Hydratant Matifiant,Default Title,46,Yes,https://www.academiebeaute.com/products/baume-actif-hydratant-matifiant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Men_baume_actif_hydratant_matifiant.png?v=1666091383,<p>2 en 1 - Hydratant &amp; Matifiant.</p>
,,,,,,,,,
518000,Académie Scientifique de Beauté,,Contour des Yeux Anti-Cernes Teinté,Default Title,39,Yes,https://www.academiebeaute.com/products/contour-des-yeux-anti-cernes-teinte,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Teint_contour_des_yeux_anti-cernes_teinte_ce515ccf-c071-4d7b-ae8f-be20ce2e0003.png?v=1666341102,<p>Traite et camoufle les cernes.</p>
,,,,,,,,,
1012711,Académie Scientifique de Beauté,Sérum hydratant,Sérum Hydraderm 24h - Édition Limitée,Default Title,58,Yes,https://www.academiebeaute.com/products/serum-hydraderm-24h-edition-limitee,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_serum_hydraderm24H_edition_limite.png?v=1666077793,<p>Pour une parfaite hydratation de votre peau.</p>
,,,,,,,,,
7389000,Académie Scientifique de Beauté,Ampoules Acide Hyaluronique,Ampoules Acide Hyaluronique,Default Title,42,Yes,https://www.academiebeaute.com/products/ampoules-acide-hyaluronique,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_Ampoule_collagene_acide_hyaluronique.png?v=1666187318,<p>Cure intensive de 7 jours à l'Acide Hyaluronique <span data-mce-fragment="1">pour une peau intensément hydratée.</span></p>
,,,,,,,,,
7345000,Académie Scientifique de Beauté,Ampoules Collagène Marin,Ampoules Collagène Marin,Default Title,40,Yes,https://www.academiebeaute.com/products/ampoules-collagene-marin,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_Ampoule_collagene_marin.png?v=1666187336,<p>Cure intensive de 7 jours de Collagène Marin pour un effet anti-âge radical. <br></p>
,,,,,,,,,
2082001,Académie Scientifique de Beauté,Démaquillant peaux grasses,Gel Démaquillant Purifiant,Default Title,25,Yes,https://www.academiebeaute.com/products/gel-demaquillant-purifiant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Pure-gel_demaquillant_purifiant_vert.png?v=1666080365,<p>Démaquille et élimine les impuretés.</p>
,,,,,,,,,
9106002,Académie Scientifique de Beauté,Sérum anti-âge,Soin Lift Galbe,Default Title,58,Yes,https://www.academiebeaute.com/products/soin-lift-galbe,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Active_Lift_soins_lift_galbe.png?v=1666079530,<p>Resculptant Visage &amp; Cou.</p>
,,,,,,,,,
1004002,Académie Scientifique de Beauté,Crème hydratante,Crème Veloutée,Default Title,55,Yes,https://www.academiebeaute.com/products/creme-veloutee,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_creme_veloutee_hydratation-douceur.png?v=1666077658,<p>Maintient une hydratation fraîcheur de la peau.</p>
,,,,,,,,,
9100002,Académie Scientifique de Beauté,Soin hydratant peaux sèches,Soin Hydratant Régénérant,Default Title,76,Yes,https://www.academiebeaute.com/products/soin-hydratant-regenerant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Produit_Youth_Repair_soins_hydratant_regenerant_creme_nutri_revitalisante.png?v=1666092962,<p>Crème nutri-revitalisante.</p>
,,,,,,,,,
2068050,Académie Scientifique de Beauté,Masque anti-rougeurs,Masque Apaisant Anti-Rougeurs,Default Title,18,Yes,https://www.academiebeaute.com/products/masque-apaisant-anti-rougeurs,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Masque_apaisant_anti-rougeurs.png?v=1666188589,<p>Masque réconfortant pour les peaux irritées.</p>
,,,,,,,,,
1001002,Académie Scientifique de Beauté,Tonique hydratant,Tonique Hydratant,Default Title,24,Yes,https://www.academiebeaute.com/products/tonique-hydratant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_tonique_hydratant.png?v=1666001497,<p>Démaquille et tonifie.</p>
,,,,,,,,,
2067002,Académie Scientifique de Beauté,Crème anti-rougeurs,Programme Anti-Rougeurs,Default Title,58,Yes,https://www.academiebeaute.com/products/programme-anti-rougeurs-1,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/hypo-sensible_programme_anti-rougeurs.png?v=1673540100,Soin apaisant contre les rougeurs.
,,,,,,,,,
1009002,Académie Scientifique de Beauté,,Crème Riche,Default Title,55,Yes,https://www.academiebeaute.com/products/creme-riche,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_creme_riche_hydratation_reconfort.png?v=1666077640,<p>L'hydratation réconfort des peaux très sèches.</p>
,,,,,,,,,
2025000,Académie Scientifique de Beauté,Masque peeling,Masque Peeling Cocktail Exotique,Default Title,9.9,Yes,https://www.academiebeaute.com/products/masque-peeling-cocktail-exotique,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Masque_peeling_cocktail_exotique.png?v=1666188627,<p>Destination Jungle Tropicale !</p>
,,,,,,,,,
2075002,Académie Scientifique de Beauté,,Crème Hydrastiane Jeunesse,Default Title,42,Yes,https://www.academiebeaute.com/products/creme-hydrastiane-jeunesse,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Time_active_creme_hydrastiane_jeunesse.png?v=1666079594,<p>Le soin idéal des peaux surmenées par le quotidien !</p>
,,,,,,,,,
2090112,Académie Scientifique de Beauté,Tonique peaux sensibles,Tonique Hypo-Sensible,400 ml,28,Yes,https://www.academiebeaute.com/products/tonique-hypo-sensible-1,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/tonique-hypo-sensible-xxl.png?v=1674634556,Tonifie en douceur.
,,,,,,,,,
2090002,Académie Scientifique de Beauté,Tonique peaux sensibles,Tonique Hypo-Sensible,200 ml,25,Yes,https://www.academiebeaute.com/products/tonique-hypo-sensible-1,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/hypo-sensible_tonique.png?v=1673602254,Tonifie en douceur.
,,,,,,,,,
1003002,Académie Scientifique de Beauté,Fluide hydratant,Fluide Léger,Default Title,55,Yes,https://www.academiebeaute.com/products/fluide-leger,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_fluide_leger_fraicheur_43071781-d810-4bf9-ae03-67c745f8f613.png?v=1666278551,<p>Un fluide fondant pour une hydratation fraîcheur.</p>
,,,,,,,,,
517002,Académie Scientifique de Beauté,Soin des yeux,Liposomes Liftant Regard,Default Title,37,Yes,https://www.academiebeaute.com/products/liposomes-liftant-regard,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Active_Lift_Liposomes_liftant_regard_yeux_paupieres.png?v=1666079515,<p>Pour des paupières défroissées et un regard reposé.</p>
,,,,,,,,,
490010,Académie Scientifique de Beauté,Protection solaire SPF 6,Gel Bronzécran Sport Teinté SPF 6,Default Title,29,Yes,https://www.academiebeaute.com/products/gel-bronzecran-sport-teinte-spf-6,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Bronzecran_gel_bronzecran_sport_teinte.png?v=1666343511,<p>Idéal pour vos activités en plein air.</p>
,,,,,,,,,
2031002,Académie Scientifique de Beauté,Soin Éclat,Aquabaume Éclat,Default Title,40,Yes,https://www.academiebeaute.com/products/aquabaume-eclat,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Radiance_aquabaume_eclat.png?v=1666091040,<p>Réveillez votre peau avec ce soin coup de fouet à l'Extrait d'Abricot !</p>
,,,,,,,,,
1615000,Académie Scientifique de Beauté,Soin visage à la rose,Infusion de Nuit à la Rose,Default Title,66,Yes,https://www.academiebeaute.com/products/infusion-de-nuit-la-rose,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Aromatherapie_Infusion_de_nuit_a_la_rose.png?v=1666278376,<p>Crème Anti-Âge fondante à la rose.</p>
,,,,,,,,,
1012700,Académie Scientifique de Beauté,,Cracker Hydraderm,Default Title,55,Yes,https://www.academiebeaute.com/products/craker-hydraderm,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_Cracker_V1.png?v=1666345015,<p>Votre duo d?essentiels hydratants.</p>
,,,,,,,,,
804001,Académie Scientifique de Beauté,Lotion peau grasse,Lotion Juvanyl,Default Title,25,Yes,https://www.academiebeaute.com/products/lotion-juvanyl,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Pure_Lotion_Juvanyl_peaux_grasses_problemes.png?v=1666080300,<p>Lotion matifiante anti-imperfections. </p>
,,,,,,,,,
2070002,Académie Scientifique de Beauté,Crème peaux sensibles,Crème Universelle Hypo-Sensible,Default Title,32,Yes,https://www.academiebeaute.com/products/creme-universelle-hypo-sensible,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/hypo-sensible_creme_universelle.png?v=1673601406,Véritable Soin Apaisant et Hydratant.
,,,,,,,,,
2070200,Académie Scientifique de Beauté,,Crème Hypo-Sensible,Default Title,18,Yes,https://www.academiebeaute.com/products/creme-hypo-sensible,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/hypo-sensible_creme_hypo_sensible_peaux_seches.png?v=1666080658,<p>Traitement quotidien pour les peaux sèches et sensibles.</p>
,,,,,,,,,
407002,Académie Scientifique de Beauté,Crème peau sensible,Dermonyl,Default Title,48,Yes,https://www.academiebeaute.com/products/dermonyl-baume-relipidant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/hypo-sensible_dermonyl_baume_relipidant.png?v=1673538157,Baume relipidant.
,,,,,,,,,
1611000,Académie Scientifique de Beauté,Huile de soin Anti-âge,Huile de Soin Anti-Âge,Default Title,61,Yes,https://www.academiebeaute.com/products/huile-de-soin-anti-ge,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Huile_de_soin_anti-age_1e5b1a45-9caa-476f-95c5-863df5d960c1.png?v=1666270563,<p>Booster d'efficacité anti-âge.</p>
,,,,,,,,,
2030002,Académie Scientifique de Beauté,Sérum éclat du teint,Sérum Éclat 12h,Default Title,48,Yes,https://www.academiebeaute.com/products/serum-eclat-12h,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Radiance_serum_eclat12H.png?v=1666091115,<p>Véritable « élixir anti-fatigue » concentré en extrait d?abricot pour donner au teint une puissance d?éclat incomparable et afficher une peau zéro défaut. </p>
,,,,,,,,,
2080112,Académie Scientifique de Beauté,Lait démaquillant peaux sensibles,Lait Démaquillant Hypo-Sensible,400 ml,28,Yes,https://www.academiebeaute.com/products/lait-demaquillant-hypo-sensible-1,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/lait-demaquillant-hypo-xxl.png?v=1674634310,Premier geste essentiel des peaux sensibles. Ce lait démaquillant est un véritable voile de douceur pour éliminer impuretés et maquillage.
,,,,,,,,,
2080002,Académie Scientifique de Beauté,Lait démaquillant peaux sensibles,Lait Démaquillant Hypo-Sensible,200 ml,25,Yes,https://www.academiebeaute.com/products/lait-demaquillant-hypo-sensible-1,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/hypo-sensible_lait_demaquillant.png?v=1673601856,Premier geste essentiel des peaux sensibles. Ce lait démaquillant est un véritable voile de douceur pour éliminer impuretés et maquillage.
,,,,,,,,,
2478010,Académie Scientifique de Beauté,Protection solaire SPF6,Super Bronzécran Mat SPF 6,Default Title,29,Yes,https://www.academiebeaute.com/products/super-bronzecran-mat-spf-6,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Bronzecran_super_bronzecran_mat_9965a3bb-8974-4073-8477-0eb073dc68be.png?v=1666343747,<p>Un teint ensoleillé toute l'année !</p>
,,,,,,,,,
3221000,Académie Scientifique de Beauté,Lait post-épilation,Lait Corps Post-Épilation,Default Title,38,No,https://www.academiebeaute.com/products/lait-corps-post-epilation,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Les_essentiels_corps_lait_corps_post-epilation.png?v=1666077886,<p>Ce lait post-épilation a été spécialement formulé pour lutter contre la repousse du poil et espacer progressivement les séances d'épilation.<br></p>
,,,,,,,,,
7378000,Académie Scientifique de Beauté,Ampoules Éclat Immédiat,Ampoules Éclat Immédiat,Default Title,22,Yes,https://www.academiebeaute.com/products/ampoules-eclat-immediat,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Radiance_ampoule_eclat_immediat.png?v=1666187358,<p>Cure intensive de 3 Ampoules "Booster Lifting Express".</p>
,,,,,,,,,
9104002,Académie Scientifique de Beauté,Masque hydratant,Masque Hydratant Rénovateur,Default Title,55,Yes,https://www.academiebeaute.com/products/masque-hydratant-renovateur,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_maque_hydratant-renovateur_coup_eclat_instantane_36feb9a8-3f18-4e86-bf64-5997ff6acc98.png?v=1666092631,<p>Masque coup d'éclat instantané.</p>
,,,,,,,,,
1601000,Académie Scientifique de Beauté,,Crème Contours Yeux & Lèvres,Default Title,41,Yes,https://www.academiebeaute.com/products/creme-contours-yeux-levres,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Creme_contours_yeux_levres.png?v=1666103068,<p>Lisse les rides et réveille le regard.</p>
,,,,,,,,,
9116002,Académie Scientifique de Beauté,Crème anti-âge,Soin Redensifiant Volumateur,Default Title,102,Yes,https://www.academiebeaute.com/products/soin-redensifiant-volumateur,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_soins_redensifiant_volumateur_creme_remodelante_588f5637-a0da-4f17-b8dc-57ad3b59411e.png?v=1666092818,<p>Crème remodelante.</p>
,,,,,,,,,
1610000,Académie Scientifique de Beauté,,Crème Nourrissante,Default Title,50,Yes,https://www.academiebeaute.com/products/creme-nourrissante,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Creme_nourrissante_peaux_seches_traitement_quotidien.png?v=1666103223,<p>Nourrit en profondeur et renforce la barrière cutanée.</p>
,,,,,,,,,
1007002,Académie Scientifique de Beauté,Masque hydratant,Masque Réhydratant Douceur,Default Title,34,Yes,https://www.academiebeaute.com/products/masque-rehydratant-douceur,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_Masque_rehydratant_douceur.png?v=1666077738,<p>Offrez un bain d'hydratation à votre peau !</p>
,,,,,,,,,
9121002,Académie Scientifique de Beauté,Sérum anti-âge,Formule Merveilleuse,Default Title,114,Yes,https://www.academiebeaute.com/products/formule-merveilleuse,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_formule_merveilleuse_serum_regenerant.png?v=1666092610,<p>Sérum régénérant multi-actions.</p>
,,,,,,,,,
4530001,Académie Scientifique de Beauté,Anti-âge Homme,Baume Actif Anti-Rides Stimulant,Default Title,52,Yes,https://www.academiebeaute.com/products/baume-actif-anti-rides-stimulant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Men_baume_actif_anti-rides_stimulant.png?v=1666091366,<p>2 en 1 - Hydratant &amp; Anti-Âge.</p>
,,,,,,,,,
2478020,Académie Scientifique de Beauté,Protection solaire SPF6,Super Bronzécran Cuivré SPF 6,Default Title,29,Yes,https://www.academiebeaute.com/products/super-bronzecran-cuivre-spf-6,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Bronzecran_super_bronzecran_cuivre_5c5ec849-5bcb-466f-a94b-e89fde8ec96e.png?v=1666343728,<p>L'allié bonne mine des citadines !</p>
,,,,,,,,,
809000,Académie Scientifique de Beauté,Fluide peaux grasses,Fluide Normalisant,Default Title,36,Yes,https://www.academiebeaute.com/products/fluide-normalisant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Pure_fluide_normalisant_peaux_grasses.png?v=1666357134,<p>Traitement quotidien peaux grasses.</p>
,,,,,,,,,
1602000,Académie Scientifique de Beauté,Lait démaquillant,Lait Démaquillant,Default Title,26,Yes,https://www.academiebeaute.com/products/lait-demaquillant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Lait_demaquillant_peaux_normales_a_seches.png?v=1666188309,<p>Lait Démaquillant Apaisant à l'Eau de Bleuet.</p>
,,,,,,,,,
1012002,Académie Scientifique de Beauté,Sérum hydratant,Sérum Hydraderm 24h,Default Title,58,Yes,https://www.academiebeaute.com/products/serum-hydraderm-24h,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_serum_hydraderm24H00.ng.png?v=1666077761,<p>Un soin booster pour une peau intensément hydratée.</p>
,,,,,,,,,
1000002,Académie Scientifique de Beauté,Lait démaquillant gommant,Lait Démaquillant Doux Gommant 2 en 1,Default Title,29,Yes,https://www.academiebeaute.com/products/lait-demaquillant-doux-gommant-2-en-1,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_lait_demaquillant_doux_gommant2en1.png?v=1666077708,<p>Démaquillez et exfoliez en douceur.</p>
,,,,,,,,,
1005002,Académie Scientifique de Beauté,,Crème Onctueuse,Default Title,55,Yes,https://www.academiebeaute.com/products/creme-onctueuse,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_creme_onctueuse_hydratation_confort.png?v=1666103003,<p>Traitement hydratant confort pour peaux sèches.</p>
,,,,,,,,,
2084000,Académie Scientifique de Beauté,Mousse démaquillante,Mousse Démaquillante,Default Title,18,Yes,https://www.academiebeaute.com/products/mousse-demaquillante,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Mousse_demaquillante_peaux_normal_mixtes_54e8953a-9996-4cde-a87c-ffd9ae764a33.png?v=1666079376,"<p>Pour un démaquillage à l'eau frais et aérien.</p>
<p>150 ml </p>"
,,,,,,,,,
1065050,Académie Scientifique de Beauté,Masque peau grasse purifiant,Masque Dynargiliane,Default Title,29,Yes,https://www.academiebeaute.com/products/masque-dynargiliane,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Pure_masque_dynargiliane.png?v=1666080333,<p>Débarassez votre peau des impuretés !</p>
,,,,,,,,,
1608000,Académie Scientifique de Beauté,,Crème Exfoliante,Default Title,32,Yes,https://www.academiebeaute.com/products/creme-exfoliante,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Creme_exfoliante_toutes_peaux.png?v=1666103180,<p>Crème désincrustante à l'Huile Essentielle de Sarriette.</p>
,,,,,,,,,
